SpatialDimValueCode,Location,Period,Dim1,FactValueNumeric
IND,India,2019,Both sexes,12.91
IND,India,2018,Both sexes,12.88
IND,India,2017,Both sexes,12.48
IND,India,2016,Both sexes,12.6
IND,India,2015,Both sexes,12.92
IND,India,2014,Both sexes,13.49
IND,India,2013,Both sexes,14.45
IND,India,2012,Both sexes,15.07
IND,India,2011,Both sexes,15.5
IND,India,2010,Both sexes,15.56
IND,India,2009,Both sexes,15.59
IND,India,2008,Both sexes,16.32
IND,India,2007,Both sexes,16.69
IND,India,2006,Both sexes,17.14
IND,India,2005,Both sexes,17.01
IND,India,2004,Both sexes,16.82
IND,India,2003,Both sexes,17.25
IND,India,2002,Both sexes,18.16
IND,India,2001,Both sexes,18.68
IND,India,2000,Both sexes,19.09
